State,Year,Region,County,Adult obesity,Physical inactivity,Access to exercise opportunities
KY,1/1/2015,South,Adair County,0.334,0.319,0.58
KY,1/1/2014,South,Allen County,0.338,0.285,0.355
KY,1/1/2015,South,Allen County,0.319,0.299,0.418
KY,1/1/2014,South,Anderson County,0.34,0.338,0.625
KY,1/1/2015,South,Anderson County,0.333,0.314,0.836
KY,1/1/2014,South,Ballard County,0.343,0.334,0.343
KY,1/1/2015,South,Ballard County,0.339,0.35,0.201
KY,1/1/2014,South,Barren County,0.314,0.31,0.545
KY,1/1/2015,South,Barren County,0.308,0.318,0.573
KY,1/1/2014,South,Bath County,0.344,0.354,0.644
KY,1/1/2015,South,Bath County,0.318,0.351,0.48
KY,1/1/2014,South,Bell County,0.321,0.308,0.757
KY,1/1/2015,South,Bell County,0.327,0.302,0.721
KY,1/1/2014,South,Boone County,0.298,0.256,0.761
KY,1/1/2015,South,Boone County,0.302,0.232,0.764
KY,1/1/2014,South,Bourbon County,0.332,0.365,0.312
KY,1/1/2015,South,Bourbon County,0.324,0.361,0.758
KY,1/1/2014,South,Boyd County,0.339,0.345,0.404
KY,1/1/2015,South,Boyd County,0.354,0.326,0.678
KY,1/1/2014,South,Boyle County,0.306,0.283,0.384
KY,1/1/2015,South,Boyle County,0.296,0.263,0.622
KY,1/1/2014,South,Bracken County,0.336,0.331,0.314
KY,1/1/2015,South,Bracken County,0.303,0.314,0.031
KY,1/1/2014,South,Breathitt County,0.4,0.349,0.251
KY,1/1/2015,South,Breathitt County,0.411,0.342,0.292
KY,1/1/2014,South,Breckinridge County,0.338,0.342,0.494
KY,1/1/2015,South,Breckinridge County,0.366,0.335,0.548
KY,1/1/2014,South,Bullitt County,0.342,0.366,0.59
KY,1/1/2015,South,Bullitt County,0.315,0.321,0.721
KY,1/1/2014,South,Butler County,0.348,0.343,0.297
KY,1/1/2015,South,Butler County,0.331,0.336,0.306
KY,1/1/2014,South,Caldwell County,0.326,0.304,0.452
KY,1/1/2015,South,Caldwell County,0.294,0.299,0.67
KY,1/1/2014,South,Calloway County,0.286,0.242,0.517
KY,1/1/2015,South,Calloway County,0.279,0.224,0.651
KY,1/1/2014,South,Campbell County,0.305,0.261,0.824
KY,1/1/2015,South,Campbell County,0.328,0.245,0.926
KY,1/1/2014,South,Carlisle County,0.303,0.304,0.05
KY,1/1/2015,South,Carlisle County,0.318,0.291,0.284
KY,1/1/2014,South,Carroll County,0.336,0.312,0.556
KY,1/1/2015,South,Carroll County,0.332,0.264,0.694
KY,1/1/2014,South,Carter County,0.32,0.395,0.481
KY,1/1/2015,South,Carter County,0.34,0.371,0.716
KY,1/1/2014,South,Casey County,0.354,0.381,
KY,1/1/2015,South,Casey County,0.355,0.341,0.328
KY,1/1/2014,South,Christian County,0.32,0.309,0.468
KY,1/1/2015,South,Christian County,0.337,0.315,0.618
KY,1/1/2014,South,Clark County,0.317,0.305,0.54
KY,1/1/2015,South,Clark County,0.306,0.266,0.727
KY,1/1/2014,South,Clay County,0.315,0.336,0.988
KY,1/1/2015,South,Clay County,0.305,0.336,0.988
KY,1/1/2014,South,Clinton County,0.322,0.364,0.744
KY,1/1/2015,South,Clinton County,0.318,0.337,0.761
KY,1/1/2014,South,Crittenden County,0.32,0.369,0.006
KY,1/1/2015,South,Crittenden County,0.325,0.356,0.185
KY,1/1/2014,South,Cumberland County,0.342,0.366,0.114
KY,1/1/2015,South,Cumberland County,0.355,0.319,0.324
KY,1/1/2014,South,Daviess County,0.3,0.27,0.584
KY,1/1/2015,South,Daviess County,0.292,0.254,0.697
KY,1/1/2014,South,Edmonson County,0.355,0.328,0.408
KY,1/1/2015,South,Edmonson County,0.365,0.353,0.409
KY,1/1/2014,South,Elliott County,0.36,0.378,0.376
KY,1/1/2015,South,Elliott County,0.347,0.395,0.427
